U:0,U:1,U:2,p,Points:0,Points:1,Points:2
0.177995,5.78859e-08,-2.88828e-11,14.0414,0.00198947,0.0002,4e-05
0.177995,5.6972e-08,-2.59189e-11,14.032,0.00200022,0.0002,4e-05
0.177995,5.65984e-08,-2.10328e-11,14.0225,0.00201097,0.0002,4e-05
0.177995,5.55737e-08,-1.61502e-11,14.0131,0.00202173,0.0002,4e-05
0.177995,5.50643e-08,-9.44602e-12,14.0037,0.00203248,0.0002,4e-05
0.177995,5.4301e-08,-5.53797e-12,13.9942,0.00204324,0.0002,4e-05
0.177995,5.34926e-08,-3.21877e-12,13.9848,0.00205399,0.0002,4e-05
0.177995,5.30633e-08,-1.21163e-12,13.9753,0.00206474,0.0002,4e-05
0.177995,5.2075e-08,-2.3211e-12,13.9659,0.0020755,0.0002,4e-05
0.177996,5.17016e-08,-3.09017e-12,13.9564,0.00208625,0.0002,4e-05
0.177996,5.08585e-08,-4.37271e-12,13.947,0.00209701,0.0002,4e-05
0.177996,5.02331e-08,-5.56376e-12,13.9375,0.00210776,0.0002,4e-05
0.177996,4.96783e-08,-6.57517e-12,13.9281,0.00211851,0.0002,4e-05
0.177996,4.88198e-08,-7.6753e-12,13.9187,0.00212927,0.0002,4e-05
0.177996,4.85186e-08,-8.86743e-12,13.9092,0.00214002,0.0002,4e-05
0.177996,4.75966e-08,-9.93244e-12,13.8998,0.00215077,0.0002,4e-05
0.177996,4.72409e-08,-1.10115e-11,13.8903,0.00216153,0.0002,4e-05
0.177996,4.64978e-08,-1.37996e-11,13.8809,0.00217228,0.0002,4e-05
0.177997,4.59408e-08,-1.69144e-11,13.8715,0.00218304,0.0002,4e-05
0.177997,4.54159e-08,-1.87901e-11,13.862,0.00219379,0.0002,4e-05
0.177997,4.46902e-08,-1.94263e-11,13.8526,0.00220454,0.0002,4e-05
0.177997,4.43881e-08,-1.93115e-11,13.8432,0.0022153,0.0002,4e-05
0.177997,4.35456e-08,-1.72876e-11,13.8337,0.00222605,0.0002,4e-05
0.177997,4.33958e-08,-1.519e-11,13.8243,0.00223681,0.0002,4e-05
0.177997,4.26082e-08,-1.14352e-11,13.8148,0.00224756,0.0002,4e-05
