OSI,x/D
0.00042152,15.6272
0.000436001,15.6272
0.00044839,15.6272
0.000457293,15.6272
0.000463067,15.6272
0.000466274,15.6272
0.000467299,15.6272
0.000466274,15.6272
0.000463067,15.6272
0.000457293,15.6272
0.00044839,15.6272
0.000436001,15.6272
0.00042152,15.6272
0.000414125,15.6272
0.00042152,15.6272
0.000436001,15.6272
0.00044839,15.6272
0.000457293,15.6272
0.000463067,15.6272
0.000466274,15.6272
0.000467299,15.6272
0.000466274,15.6272
0.000463067,15.6272
0.000457293,15.6272
0.00044839,15.6272
0.000436001,15.6272
0.00042152,15.6272
0.00042152,15.6272
0.000436001,15.6272
0.00044839,15.6272
0.000457293,15.6272
0.000463067,15.6272
0.000466274,15.6272
0.000467299,15.6272
0.000466274,15.6272
0.000463066,15.6272
0.000457292,15.6272
0.00044839,15.6272
0.000436,15.6272
0.00042152,15.6272
0.000414145,15.7396
0.000421541,15.7396
0.000436022,15.7396
0.000448412,15.7396
0.000457315,15.7396
0.000463089,15.7396
0.000466295,15.7396
0.00046732,15.7396
0.000466295,15.7396
0.000463089,15.7396
0.000457315,15.7396
0.000448412,15.7396
0.000436022,15.7396
0.000421541,15.7396
0.000414145,15.7396
0.000414145,15.7396
0.000421541,15.7396
0.000436022,15.7396
0.000448412,15.7396
0.000457315,15.7396
0.000463089,15.7396
0.000466295,15.7396
0.00046732,15.7396
0.000466295,15.7396
0.000463088,15.7396
0.000457314,15.7396
0.000448412,15.7396
0.000436022,15.7396
0.000421541,15.7396
0.000414145,15.7396
0.000421541,15.7396
0.000436022,15.7396
0.000448412,15.7396
0.000457315,15.7396
0.000463089,15.7396
0.000466295,15.7396
0.00046732,15.7396
0.000466295,15.7396
0.000463089,15.7396
0.000457315,15.7396
0.000448412,15.7396
0.000436022,15.7396
0.000421541,15.7396
0.000421541,15.7396
0.000436022,15.7396
0.000448412,15.7396
0.000457315,15.7396
0.000463089,15.7396
0.000466295,15.7396
0.00046732,15.7396
0.000466295,15.7396
0.000463088,15.7396
0.000457314,15.7396
0.000448411,15.7396
0.000436022,15.7396
0.000421541,15.7396
0.000414163,15.8521
0.000421559,15.8521
0.000436041,15.8521
0.000448432,15.8521
0.000457335,15.8521
0.00046311,15.8521
0.000466316,15.8521
0.000467341,15.8521
0.000466316,15.8521
0.00046311,15.8521
0.000457335,15.8521
0.000448432,15.8521
0.000436042,15.8521
0.00042156,15.8521
0.000414165,15.8521
0.000414165,15.8521
0.00042156,15.8521
0.000436042,15.8521
0.000448432,15.8521
0.000457335,15.8521
0.000463109,15.8521
0.000466315,15.8521
0.00046734,15.8521
0.000466315,15.8521
0.000463109,15.8521
0.000457334,15.8521
0.000448431,15.8521
0.000436041,15.8521
0.000421559,15.8521
0.000414165,15.8521
0.000421561,15.8521
0.000436042,15.8521
0.000448432,15.8521
0.000457335,15.8521
0.00046311,15.8521
0.000466316,15.8521
0.000467341,15.8521
0.000466316,15.8521
